Variable,Coefficient,Std Error,t-stat,p-value
LN(Episodes),0.15748383028966895,0.007266655319092546,21.67212058013719,1.210809336924518e-102
Duration (min),0.011687729338654716,0.0004343715703955003,26.907215239737962,6.271523868355521e-156
Year (since 2000),0.00862347842709364,0.00039264769156045705,21.962381576273344,2.5613581593288626e-105
LN(Members),0.2817533321572827,0.0034246763613767204,82.27152070043134,0.0
Type_Special,0.5197471326283568,0.022480683169716284,23.119721438381724,2.5938046099720294e-116
Type_Movie,0.45267194714286507,0.025850030455572288,17.51146668553677,5.215423117268167e-68
Type_OVA,0.35881143583632735,0.022110836359814583,16.22785452333456,9.671488873557405e-59
Type_ONA,0.30262482692984133,0.020821390062356115,14.534323886327346,1.4991250725963146e-47
Type_Music,0.9519235653225648,0.029014615439595725,32.80841572084019,2.2731513259204402e-228
Source_Visual novel,-0.14855950420391628,0.02164536435170612,-6.863340426616871,6.979637852710635e-12
Source_Original,-0.19913252167846274,0.013265025473202451,-15.011846157456947,1.3822012822782782e-50
Source_Light novel,-0.17147371326640698,0.021367328680048557,-8.025042148882099,1.0864946766363606e-15
Source_4-koma manga,-0.09395412699839886,0.03599450778838457,-2.6102350822732427,0.009056626988802741
Source_Web manga,-0.13892924016288102,0.03316432741395156,-4.189116770823952,2.815779508999812e-05
Source_Game,-0.2414138351632235,0.020729696528781837,-11.645796880240677,3.24301049625316e-31
Source_Web novel,0.4192716084110135,0.08827826343156463,4.749431990537995,2.05798888890248e-06
Source_Other+Radio,-0.2153006201839056,0.026436758608049504,-8.14398706649122,4.1111356346994007e-16
Source_Mixed media,-0.15455826933256278,0.0541513848639062,-2.854188673493765,0.004320359389850465
Source_Card game,-0.29971817064810313,0.07048030626980081,-4.252509481170139,2.1261578797813302e-05
Source_Music,-0.4607254839382527,0.03632058857575146,-12.68496745247803,1.0862010482525877e-36
Source_null,-0.1556449485849024,0.017186451044705876,-9.056258804102978,1.5066133213668523e-19
Rating_PG-13 - Teens 13 or older,0.05505848897542253,0.01792354823976502,3.0718520819036415,0.002131004855996053
Rating_R+ - Mild Nudity,-0.17836867100165954,0.02535969511936754,-7.033549502944812,2.0968797183069287e-12
Rating_PG - Children,0.08361892980192931,0.025937490439641105,3.2238635421001174,0.0012673310094419897
Rating_G - All Ages,0.0987172190251665,0.02164809381625658,4.560088285973477,5.15200723762239e-06
Genre_Action,-0.06672461299222175,0.01227261598546452,-5.436869618608556,5.5037731361837675e-08
Genre_Adventure,0.06212916224993621,0.01332446712694354,4.662787761643706,3.145329966112799e-06
Genre_Avant Garde,-0.4015323571512645,0.028606738382737237,-14.036285849126008,1.7405015853484389e-44
Genre_Award Winning,0.2123728766453109,0.0398805422437764,5.325225403083705,1.0222208099072941e-07
Genre_Boys Love,-0.2005902732856485,0.050311922263915045,-3.9869332011096064,6.723699179229307e-05
Genre_Comedy,0.04801093300031463,0.011095650588486298,4.327004767988501,1.5208861339040154e-05
Genre_Drama,0.15659564760220984,0.014101541338104791,11.104860372891398,1.5189521573910108e-28
Genre_Ecchi,-0.2773080173674878,0.024342359361958985,-11.391994228827745,6.015716512299001e-30
Genre_Erotica,-0.36264443805723623,0.0938403741230958,-3.864482014761948,0.00011177470980543852
Genre_Girls Love,-0.12075013620299214,0.055618397672600406,-2.1710466546302167,0.029942633250158997
Genre_Hentai,-0.14644122977930918,0.02718405588520592,-5.387026512809859,7.266890084849332e-08
Genre_Horror,-0.358694155223245,0.028485820953813988,-12.592024495443553,3.4996402007183404e-36
Genre_Mystery,0.11639084769397837,0.022219982148372334,5.238116165746077,1.6432753524614433e-07
Genre_Romance,-0.04060753488816908,0.01531547258752877,-2.6514059331891184,0.00802382342669242
Genre_Slice of Life,0.10675134080874149,0.018105286348567874,5.89614208544045,3.797624963914822e-09
Genre_Sports,0.10478861085735788,0.025019249980373054,4.188319431620124,2.825677385547064e-05
Genre_Supernatural,0.04503951274004465,0.01732533769996489,2.5996326028401695,0.009341129381840544
Studio_Toei Animation,0.14894591897021808,0.022501788540222802,6.619292448863414,3.7266397754930546e-11
Studio_Sunrise,0.3184096887526015,0.025727991020419554,12.376002793995422,5.140760407770252e-35
Studio_Madhouse,0.08509861418140341,0.030452574009091803,2.794463750617491,0.005204915163776523
Studio_Production I.G,0.12863755603884514,0.03206976917977225,4.011178107261908,6.0697415856425865e-05
Studio_TMS Entertainment,0.16473084952545033,0.034425992638748,4.785071886061997,1.724872512480934e-06
Studio_Studio Deen,0.11779570291052865,0.033883458405579735,3.4764958612114616,0.0005093909233428749
Studio_Pierrot,0.08467534803971474,0.03544048369821047,2.3892266471518373,0.01689565919142008
Duration (min) ^2 (centered),-9.173263642612406e-05,5.978030462155407e-06,-15.344959683100951,9.274469129173622e-53
LN(Episodes) ^2 (centered),0.021471193052319953,0.0027494538140057844,7.809257585250268,6.115797746231656e-15
Intercept,3.106615039111968,0.04574764059392245,67.90765597482375,0.0
